Titulo,Sku,Precio Original,Precio Envio,Stock
"Teclado Gamer Logitech G815 RGB, Teclado Mecánico, Switch GL Táctil, Alámbrico, Negro (Inglés)",920-008984,"$4,187.00",$99.00,3
"SSD Western Digital WD Green SN350 NVMe, 2TB, PCI Express, M.2",WDS200T3G0C,"$1,703.00",$99.00,364
"Multifuncional Brother DCP-T520W InkBenefit Tank, Color, Inyección, Tanque de Tinta, Inalámbrico, Print/Scan/Copy",DCP-T520W,"$4,025.00",$154.00,888
"Tarjeta Madre AORUS ATX B650 AORUS ELITE AX, S-AM5, AMD B650, HDMI, 128GB DDR5 para AMD",B650 AORUS ELITE AX,"$5,826.00",$99.00,2
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 OC, 8GB 128-bit GDDR6, PCI Express 4.0",DUAL-RTX3060-O8G,"$5,853.00",$99.00,10
"LinkedPRO Módulo Transceptor LP-SFP-10G-SM-3 SFP+, LC, 10000 Mbits/s, 3km, 1310nm, 2 Piezas",LP-SFP-10G-SM-3,$912.00,$99.00,381
"Procesador Intel Core i3-10105F, S-1200, 3.70GHz, Quad-Core, 6MB Smart Cache (10ma Generación - Comet Lake)",BX8070110105F,"$1,308.00",$99.00,14
"Amazon Echo Dot Asistente de Voz 5ta Generación, Inalámbrico, WiFi, Bluetooth, Blanco",B09B94RL1R,"$1,027.00",$99.00,424
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Verde",CA-9011197-NA,$757.00,$99.00,¡1
"Teclado Gamer Logitech G213 Prodigy LED RGB, Alámbrico, Negro, (Inglés)",920-008084,"$1,151.00",$99.00,6
"Balam Rush Silla Gamer Thunder Rush 2, hasta 150Kg, Rosa",BR-932851,"$3,992.00",$319.00,2
"SSD Western Digital WD_Black SN770 NVMe, 2TB, PCI Express 4.0, M.2",WDS200T3X0E,"$4,017.00",$99.00,19
"Multifuncional Epson EcoTank M2120, Blanco y Negro, Inyección, Tanque de Tinta, Inalámbrico,  Print/Scan/Copy",C11CJ18301,"$5,681.00",$139.00,2
"Regulador Koblenz 00-1588-3, 1000W, 2250VA, Entrada 95-145V, Salida 108-132V, 8 Contactos",00-1588-3,$890.00,$99.00,13
"Cartucho Canon PG-140XXL Negro, 600 Páginas",5198B001AA,"$1,199.00",$99.00,30
"Teclado Logitech K380, Inalámbrico, Bluetooth, Blanco (Español)",920-009595,$840.00,$99.00,13
"Game Factor Audífonos Gamer HSG500, Alámbrico, 1.5 Metros, 3.5mm, Negro",HSG500,$502.00,$99.00,8
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Lila",981-000889,"$2,957.00",$99.00,9
"TP-Link Cable Extensión de Baja Pérdida para Antenas, 12 Metros, Negro",TL-ANT24EC12N,$657.00,$159.00,9
"Game Factor Silla Gamer CGC600 V2, hasta 150Kg, Negro/Rojo",CGC600V2/RD,"$3,846.00",$319.00,5
"SSD SanDisk Plus, 240GB, SATA III, 2.5'', 7mm",DSSDA-240G-G26,$889.00,$99.00,8
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$873.00,$99.00,892
"Logitech Sistema de Bocinas con Subwoofer Z607, Bluetooth, Alámbrico, 5.1, 80W RMS, USB, Negro",980-001315,"$2,534.00",$149.00,¡1
"Gabinete Gamer ASUS TUF Gaming GT501 con Ventana RGB, Midi Tower, ATX/EATX/micro ATX/Mini-ITX, USB 3.1, sin Fuente, Blanco",90DC0013-B40000,"$3,708.00",$179.00,4
"Tarjeta de Video ASUS NVIDIA GeForce RTX 3060 V2 Phoenix OC, 12GB 192-bit GDDR6, PCI Express 4.0",PH-RTX3060-12G-V2,"$7,437.00",$99.00,34
"Memoria Flash Adata Premier Pro, 512GB MicroSDXC UHS-I Clase 10, con Adaptador",AUSDX512GUI3V30SA2-RA1,"$1,089.00",$99.00,36
"Logitech Webcam C270, 3MP, 1280 x 720 Pixeles, USB 2.0, Negro",960-000947,$591.00,$99.00,360
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Blanco (Inglés)",920-009660,"$3,170.00",$99.00,¡1
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Azul",981-000942,"$2,939.00",$99.00,5
"Mouse Microsoft Óptico Ergonomic, Inalámbrico, Bluetooth, Rosa",222-00035,$769.00,$99.00,3
"TP-Link Cable de Extensión de Baja Pérdida para Antenas, 6 Metros, Negro",TL-ANT24EC6N,$411.00,$99.00,16
"Tarjeta de Video ASUS NVIDIA GeForce GT 730 Low Profile, 2GB 64-bit GDDR5, PCI Express 2.0",90YV06N2-M0NA00,"$1,696.00",$99.00,11
"Logitech Bocina WONDERBOOM 2, Bluetooth, Inalámbrico, Gris - Resistente al Agua",984-001548,"$1,615.00",$99.00,5
"Tóner Brother TN-450 Negro, 2600 Páginas ― ¡Envio gratis limitado a 5 productos por cliente!",TN450,"$2,096.00",Envío gratis,738
